,t_set_heating,appliance_gains,infl_rate_m3ph_m2,ventilation_efficiency
sample_001,24.54987691921299,12.975776030564734,3.8626243328141787,0.6090789591282191
sample_002,20.080891027774374,10.839876996849416,4.0382176476815435,0.6364180708416913
sample_003,17.532384548552542,11.557958300438766,3.620672316122787,0.842197050334542
sample_004,18.779153299132243,10.441043832472094,3.289053728187627,0.7731828383464567
sample_005,23.8941487789067,13.623154835826156,4.187579012481187,0.671050068026338
sample_006,22.043206298328286,13.957089174204459,4.484688316096816,0.6932063663603341
sample_007,21.18615786245804,10.265964096343295,4.7253246394036745,0.7486858870263832
sample_008,23.39039682666326,9.565220552813452,3.4008380550547495,0.8709747080269736
sample_009,20.726306699163953,12.537187570398784,3.7648710701958708,0.8343158592274714
sample_010,18.370865935518204,12.016838120732832,4.443694504151859,0.7899055801595247
