,t_set_heating,window_opening_ach,infl_rate_m3ph_m2,atrium_ach
sample_001,20.918734614901624,0.09280560780123975,3.8628280416017726,1.8930263197094064
sample_002,22.0401113784718,0.08012188824181622,3.6047772059601932,2.0421393569472306
sample_003,21.40654806856907,0.06774807031052217,4.392584039515349,2.070732350111514
sample_004,19.35739416239153,0.18088619193364583,4.031131716023453,1.9377276127821523
sample_005,19.996768597363335,0.03468091371947912,4.303447376560149,2.1836833560087796
sample_006,19.135400787291033,0.14822737015935067,3.960586039512102,2.111068788786778
sample_007,20.393269732807255,0.16402680646074014,3.7506655799254593,1.9695619623421279
sample_008,21.92879960333291,0.18658475523378773,4.045104756881844,2.090324902675658
sample_009,21.700788337395494,0.053147701469825656,4.3706088837744845,2.158105286409157
sample_010,22.141358241939777,0.10762147536887035,3.7754618130189823,2.033301860053175
sample_011,20.534099048518407,0.19583660901971084,4.285994697959955,1.8168763335861797
sample_012,20.597612720853505,0.155976178212516,4.112250432419397,1.8871167189606977
sample_013,20.193337972082627,0.07430123758195345,3.9560018359504983,1.91992637730249
sample_014,18.922372940362273,0.12167574571703985,4.165896692427474,1.8421927096897803
sample_015,22.316813843568475,0.062156294020235536,3.897204060037447,1.9488546992646403
sample_016,22.714817689012,0.16764451896928434,3.6886952778703765,1.8223500114258397
sample_017,22.40335457639994,0.20723210299671002,3.7288158567850918,2.006960499019374
sample_018,20.891764127370365,0.11281641305383819,3.8157083065436095,2.195914713562754
sample_019,22.590392677306845,0.1938303025706733,3.858833945166219,2.0571861610797804
sample_020,20.3391726554345,0.21169041742636552,4.128859356953175,1.8521610179089358
sample_021,21.455247078265625,0.17796806569279966,3.9837195923066795,2.128330270800923
sample_022,21.312615232320944,0.10454976069612179,4.325552812988072,1.805381227697486
sample_023,19.30306646320147,0.07749477612448319,4.356953757945737,1.9230367962492227
sample_024,22.948153591064727,0.02809489386951759,4.253969758217043,1.9536971740688112
sample_025,19.807009675891894,0.2045617504034195,4.21763988195759,1.8303810233545048
sample_026,20.0645990274757,0.13650146433094626,3.91468260077081,2.080308236226523
sample_027,21.023231155083593,0.11641554905420504,3.7110127699571245,2.0272775843815487
sample_028,22.879878948973882,0.09548698801728081,3.790884474203328,1.9779763663520478
sample_029,19.70787455446418,0.15210390215529052,3.8364645443412155,2.1614338571590763
sample_030,19.4503554493673,0.2214026852202453,3.671358139204498,2.0637269115929757
sample_031,19.04866971326416,0.0367507669922259,4.0183111135772025,1.865841925978294
sample_032,21.8356305117445,0.1425300459037774,3.9334027757533443,2.1385547581113395
sample_033,23.089142688389135,0.21706177713911146,3.636588140629262,2.100748798816232
sample_034,22.51398858033146,0.04826565097732582,4.088181690170372,2.1497719612897033
sample_035,20.689351282609646,0.1725884828152855,4.184345295454994,1.8791727000007756
sample_036,19.898900875261994,0.0575464650282274,4.1412434709005,1.9942827194762394
sample_037,21.58028361288902,0.08866512168454055,3.653368620053149,1.9847932759752847
sample_038,21.16391429666797,0.04489193960059835,4.223474161516113,2.1710383922816026
sample_039,22.24527384565515,0.12722981928230476,4.0778284851772915,1.903277599069602
sample_040,19.605470452696903,0.1317028868265405,4.265460107714262,2.0123135250808235
